nome,channel_id,subscribers,ultimoAnoColetado,ultimoMesColetado,videosColetados,comentariosColetados,videosTranscritos
Robin Hood Gamer,UCYtaoJSk9iIrFxx8eZB15ag,22100000,2025,Janeiro,27,0,23
Julia MineGirl,UCEOGSdXwcXcNfcuDGbjmgOw,11900000,2024,Agosto,584,1826083,459
Tex HS,UCH2958aySlHIuMzpUE8Xe9A,7170000,2024,Dezembro,159,211092,70
AuthenticGames,UCIPA6iWNaoetaa1T46RkzXw,20200000,2019,Janeiro,60,136775,56
Cadres,UCbWYmIdZ2hpVMpPhRI9pI5Q,21700000,2019,Janeiro,217,0,93
Athos,UC-ctODTuZq-ViQ-ocLa5XoQ,4020000,2019,Janeiro,84,0,16
JP Plays,UCYSrT9w_V_5wpEahYXTeXUw,11300000,2019,Janeiro,0,0,0
Marcelodrv,UC3cFOnbfiLe2xLoTPauY4wA,10900000,2019,Janeiro,33,0,0
Geleia,UCEfGV5hx2VrXl4jOUnG0MRQ,10600000,2023,Janeiro,725,0,0
Kass e KR,UC9Qu6o04oTf-b2acahQVk1g,2520000,2023,Janeiro,0,0,0
Papile,UC5k7DWvPOEMQepu1_riwHYg,10100000,2019,Janeiro,272,503441,205
Amy Scarlet,UCABon3LeMfnU5ajXaOYC1oA,7050000,2019,Janeiro,0,0,0
Luluca Games,UCDVS7-YYxiQ62r46KXmp-kw,5980000,2019,Janeiro,279,588464,279
meu nome é david,UCrj2cdfy4zF96dAq-_wtd1A,6460000,2019,Janeiro,1,15,0
Lokis,UCZ5EhVtjHsdha52CiOcFvvg,4800000,2019,Janeiro,1077,524041,31
